m_id,is_spam
165b8cffe84ba045,False
165b8cb8b2a40394,False
165b24cd5e6dc143,False
1659562fa099749c,False
1658299191be4119,False
1656a9ea22ee8215,False
164cb3107e27341b,False
163b2608f45c5f37,False
163635d90a916e2f,False
161403771ffaaef4,False
1611ca2848d561d6,False
1611c02a47cff9c6,False
160f8235ac56db7e,False
160ed853a993aa0c,True
160d4047a79bcc4b,False
160bab757631153c,True
160afd11d4e36e2e,False
160a56c6b00ead3b,True
1602faa4574806ce,True
15ff69788f94d456,True
15fdec31ecd2e7d3,True
15fd0f70e7838e31,False
15fd0f68232b1a4e,False
15c391656a798092,True
15bf63fa5532ae5c,True
15b51e5276445411,False
