m_id,is_spam
1665f338e3087a33,False
1665d428cfb76755,False
1665d3153b355c16,False
1665990919b699e2,True
1665845de4352ed7,False
1665752ca280072e,False
1665568114a7f5a3,False
166556244f0bc5a0,False
166556178f61defa,False
16655319249cfd68,False
16654d30eb63818b,False
16654bc90c280bcf,False
16654a23d448db9c,False
166548dab949b2c9,False
16652d0aef57735e,False
16651ec67994bd46,False
1664fc36a9d6b372,False
1664f5b92b44a04b,False
1664f5b5cec175f0,False
1664ee5b7afbb342,False
1664da029bd86431,True
1664ace16b90b4dc,False
166480e802086b29,False
16645e5beabd56a7,False
1664501a8d4a5a72,False
16644a35b639dd18,True
1664058c2e85ebe0,True
1663fde5624f0096,False
1663f7ca84ffeb2c,True
1663e2745d5b4af7,True
1663b327e89ba2b8,True
1663ab2d0b5f3f94,True
1663a5697caf4fdc,True
16639c49877e1c49,False
166358f6c0183312,True
16633db9ae4b6244,True
16632e72b87c2d70,False
166314fd0573e8a2,True
166307bd5276a2af,False
166306fac61e94db,True
1662f3499b710591,False
1662ebfa994cf6f9,True
1662e64a54135615,False
1662c1ebc7bc5a35,False
1662b493c00e9416,False
1662ae30626bdb49,True
166299336419b71e,False
16629637a05e4bbd,False
166295fc4643f91b,False
166285548fc23098,True
166251f1bd6c7251,False
166251d64aefb021,False
16624f90afab75f1,False
16621d628fa679c0,False
1661fe1516cdbbb3,False
1661f527984b14ba,False
1661e9730af01b2e,True
1661cd6649a37fc2,False
1661cb22620bfa3e,True
1661b07820d414ff,True
1661ac95419e468b,True
1661a93eb92a9054,False
1661a54e07d6c763,False
16616ba81dd7b755,False
166159d0b6df68b7,True
166156c13216d94d,False
16610a0bd32ee69b,False
16610a0b9f2e2831,False
16610a0b365d38cf,False
16610a0b2fa8584e,False
16610a0b01df95a9,False
16610a0abaac54b5,False
16610a0a988968f5,False
16610a0a77a9ed16,False
16610a0a18a49abe,False
16610a09ae3bad8f,False
166107adf597dbd9,True
1660b54c8abec6a0,True
166062b6f8499ffd,True
166058370df00e58,True
166025a09d7fd5c0,False
16600fe45fdd32a5,True
16600044dcdf725c,False
165fdc9f0e291855,False
165fd48d9ee33eda,False
165fc74267e1cea9,False
165fc10e9a1e0817,False
165fbd7b07000183,True
165f6acb3d866db4,True
165f69522e1aff3d,False
165f6584eac60ae5,False
165f18b119593b98,True
165f0ffb07136ac6,False
165f051d45d9b125,False
165f033a52998ee3,False
165ec6508bcff5e9,True
165e73533b70f70e,True
165e691e05349406,True
165e402323bee5bf,False
165e2111e64bf9a0,True
